CLST244775	PF00041,	hypothetical_protein	Roseburia_intestinalis	Healthycore
CLST025690	PF06439,	Annotation_not_available	unknown	Healthycore
CLST218465	PF01833,	hypothetical_protein	Bacteroides_uniformis	Healthycore
CLST009126	PF00614,	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin_synthases_and_related_enzymes	unknown	Healthycore
CLST615180	PF02482,	Ribosome-associated_protein_Y_(PSrp-1)	Roseburia	Healthycore
CLST185572	PF00700,	Flagellin_and_related_hook-associated_proteins	Bacteria	Healthycore
CLST013216	PF00717,	Signal_peptidase_I	unknown	Healthycore
CLST126319	PF04041,	Predicted_glycosylase	unknown	Healthycore
CLST029737	PF12450,	Uncharacterized_protein_containing_a_von_Willebrand_factor_type_A_(vWA)_domain	Bacteroides	Healthycore
CLST029737	PF12034,	Uncharacterized_protein_containing_a_von_Willebrand_factor_type_A_(vWA)_domain	Bacteroides	Healthycore
CLST669281	PF00041,	hypothetical_protein	Ruminococcus_lactaris	Healthycore
CLST010934	PF07497,	Transcription_termination_factor	unknown	Healthycore
CLST010934	PF07498,	Transcription_termination_factor	unknown	Healthycore
CLST232344	PF00652,	hypothetical_protein	Bacteria	Healthycore
CLST005608	PF01450,	Ketol-acid_reductoisomerase	unknown	Healthycore
CLST421179	PF04616,	Beta-xylosidase	Eubacterium_rectale	Healthycore
CLST143972	PF10418,	2-polyprenylphenol_hydroxylase_and_related_flavodoxin_oxidoreductases	unknown	Healthycore
CLST445298	PF02878,	Phosphomannomutase	Roseburia	Healthycore
CLST445298	PF00408,	Phosphomannomutase	Roseburia	Healthycore
CLST143985	PF00575,	Ribosomal_protein_S1	unknown	Healthycore
CLST249453	PF10417,	Peroxiredoxin	Akkermansia_muciniphila	Healthycore
CLST014322	PF10385,	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	unknown	Healthycore
CLST014322	PF04565,	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	unknown	Healthycore
CLST014322	PF04560,	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	unknown	Healthycore
CLST014322	PF04561,	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	unknown	Healthycore
CLST014322	PF00562,	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	unknown	Healthycore
CLST503892	PF04616,	Beta-xylosidase	Roseburia_intestinalis	Healthycore
CLST007428	PF11987,	Translation_initiation_factor_2_(IF-2;_GTPase)	unknown	Healthycore
CLST007428	PF04760,	Translation_initiation_factor_2_(IF-2;_GTPase)	unknown	Healthycore
CLST447164	PF09261,	Alpha-mannosidase	unknown	Healthycore
CLST447164	PF01074,	Alpha-mannosidase	unknown	Healthycore
CLST055115	PF07676,	Periplasmic_protease	unknown	Healthycore
CLST049764	PF03435,	Saccharopine_dehydrogenase_and_related_proteins	unknown	Healthycore
CLST006721	PF00216,	Bacterial_nucleoid_DNA-binding_protein	unknown	Healthycore
CLST039803	PF00728,	N-acetyl-beta-hexosaminidase	Bacteroides	Healthycore
CLST224618	PF00766,	Electron_transfer_flavoprotein,_alpha_subunit	unknown	Healthycore
CLST345670	PF00476,	DNA_polymerase_I_-_3-5_exonuclease_and_polymerase_domains	Eubacterium_rectale	Healthycore
CLST530333	PF02368,	hypothetical_protein	Lachnospiraceae	Healthycore
CLST597888	PF04295,	Altronate_dehydratase	Roseburia_intestinalis	Healthycore
CLST095838	PF08522,	Annotation_not_available	Bacteroides	Healthycore
CLST022899	PF02275,	Penicillin_V_acylase_and_related_amidases	unknown	Healthycore
CLST230031	PF00037,	Iron_only_hydrogenase_large_subunit,_C-terminal_domain	unknown	Healthycore
CLST194815	PF12437,	Uncharacterized_protein_related_to_glutamine_synthetase	Clostridiales	Healthycore
CLST003331	PF00380,	Ribosomal_protein_S9	unknown	Healthycore
CLST134679	PF00276,	Ribosomal_protein_L23	unknown	Healthycore
CLST040459	PF03477,	NrdD:_anaerobic_ribonucleoside-triphosphate_reductase	unknown	Healthycore
