Q9NQ79;LIG_FHA_2;58;65;;PF00498;CLST014522
Q9NQ76;LIG_FHA_2;269;276;;PF00498;CLST014522
Q8TDW4;LIG_FHA_2;171;178;;PF00498;CLST014522
Q6P1J6;LIG_FHA_2;455;462;;PF00498;CLST014522
Q00535;LIG_FHA_2;178;185;;PF00498;CLST014522
Q9NXR1;LIG_FHA_2;29;36;;PF00498;CLST014522
Q00536;LIG_FHA_2;85;92;;PF00498;CLST014522
Q6UXI7;LIG_FHA_2;355;362;;PF00498;CLST014522
Q96J65;LIG_FHA_2;298;305;;PF00498;CLST014522
O00241;LIG_FHA_2;88;95;;PF00498;CLST014522
Q9UBM7;LIG_FHA_2;380;387;;PF00498;CLST014522
Q6UXI9;LIG_FHA_2;163;170;;PF00498;CLST014522
P51993;LIG_FHA_2;229;236;;PF00498;CLST014522
P40429;LIG_FHA_2;152;159;;PF00498;CLST014522
Q7Z3T8;LIG_FHA_2;95;102;;PF00498;CLST014522
Q8TDW7;LIG_FHA_2;48;55;;PF00498;CLST014522
P08842;LIG_FHA_2;492;499;;PF00498;CLST014522
P48960;LIG_FHA_2;54;61;;PF00498;CLST014522
P03897;LIG_FHA_2;32;39;;PF00498;CLST014522
P05388;LIG_FHA_2;88;95;;PF00498;CLST014522
Q9UQ05;LIG_FHA_2;10;17;;PF00498;CLST014522
Q9UJ71;LIG_FHA_2;67;74;;PF00498;CLST014522
Q15165;LIG_FHA_2;115;122;;PF00498;CLST014522
O15254;LIG_FHA_2;36;43;;PF00498;CLST014522
O15258;LIG_FHA_2;133;140;;PF00498;CLST014522
O15259;LIG_FHA_2;84;91;;PF00498;CLST014522
P20813;LIG_FHA_2;128;135;;PF00498;CLST014522
P29400;LIG_FHA_2;124;131;;PF00498;CLST014522
Q5VWT5;LIG_FHA_2;175;182;;PF00498;CLST014522
Q9H0S4;LIG_FHA_2;22;29;;PF00498;CLST014522
Q2VWP7;LIG_FHA_2;48;55;;PF00498;CLST014522
Q01118;LIG_FHA_2;25;32;;PF00498;CLST014522
Q69384;LIG_FHA_2;29;36;;PF00498;CLST014522
Q9P218;LIG_FHA_2;226;233;;PF00498;CLST014522
Q96CS7;LIG_FHA_2;55;62;;PF00498;CLST014522
Q8N6K0;LIG_FHA_2;16;23;;PF00498;CLST014522
P62805;LIG_FHA_2;69;76;;PF00498;CLST014522
Q9UK17;LIG_FHA_2;53;60;;PF00498;CLST014522
Q9P212;LIG_FHA_2;200;207;;PF00498;CLST014522
Q92832;LIG_FHA_2;31;38;;PF00498;CLST014522
Q92835;LIG_FHA_2;19;26;;PF00498;CLST014522
P21453;LIG_FHA_2;311;318;;PF00498;CLST014522
Q969K7;LIG_FHA_2;45;52;;PF00498;CLST014522
Q9H3M0;LIG_FHA_2;200;207;;PF00498;CLST014522
Q5VVP1;LIG_FHA_2;690;697;;PF00498;CLST014522
Q08462;LIG_FHA_2;216;223;;PF00498;CLST014522
O43934;LIG_FHA_2;246;253;;PF00498;CLST014522
B4DJY2;LIG_FHA_2;19;26;;PF00498;CLST014522
O43933;LIG_FHA_2;430;437;;PF00498;CLST014522
Q9Y597;LIG_FHA_2;51;58;;PF00498;CLST014522
O43570;LIG_FHA_2;69;76;;PF00498;CLST014522
Q2NKQ1;LIG_FHA_2;402;409;;PF00498;CLST014522
Q9UKZ9;LIG_FHA_2;61;68;;PF00498;CLST014522
P53708;LIG_FHA_2;375;382;;PF00498;CLST014522
P04035;LIG_FHA_2;339;346;;PF00498;CLST014522
P78333;LIG_FHA_2;26;33;;PF00498;CLST014522
P53701;LIG_FHA_2;68;75;;PF00498;CLST014522
Q9UKZ4;LIG_FHA_2;42;49;;PF00498;CLST014522
Q9NY47;LIG_FHA_2;317;324;;PF00498;CLST014522
Q86TG1;LIG_FHA_2;56;63;;PF00498;CLST014522
Q8NFQ8;LIG_FHA_2;83;90;;PF00498;CLST014522
P58397;LIG_FHA_2;343;350;;PF00498;CLST014522
Q9UHF3;LIG_FHA_2;128;135;;PF00498;CLST014522
P41219;LIG_FHA_2;419;426;;PF00498;CLST014522
Q96PG2;LIG_FHA_2;175;182;;PF00498;CLST014522
P41217;LIG_FHA_2;33;40;;PF00498;CLST014522
Q9UHC6;LIG_FHA_2;204;211;;PF00498;CLST014522
Q92523;LIG_FHA_2;561;568;;PF00498;CLST014522
Q86VY9;LIG_FHA_2;163;170;;PF00498;CLST014522
P23352;LIG_FHA_2;115;122;;PF00498;CLST014522
A0A087WXS9;LIG_FHA_2;58;65;;PF00498;CLST014522
Q02878;LIG_FHA_2;196;203;;PF00498;CLST014522
Q9HAP6;LIG_FHA_2;80;87;;PF00498;CLST014522
P27448;LIG_FHA_2;6;13;;PF00498;CLST014522
Q9HAP2;LIG_FHA_2;184;191;;PF00498;CLST014522
Q96HA4;LIG_FHA_2;32;39;;PF00498;CLST014522
P31995;LIG_FHA_2;9;16;;PF00498;CLST014522
O75165;LIG_FHA_2;306;313;;PF00498;CLST014522
O75167;LIG_FHA_2;107;114;;PF00498;CLST014522
Q96G23;LIG_FHA_2;1;8;;PF00498;CLST014522
P06865;LIG_FHA_2;116;123;;PF00498;CLST014522
Q8TEH3;LIG_FHA_2;8;15;;PF00498;CLST014522
Q13237;LIG_FHA_2;28;35;;PF00498;CLST014522
Q9C0H9;LIG_FHA_2;143;150;;PF00498;CLST014522
P19075;LIG_FHA_2;117;124;;PF00498;CLST014522
P08123;LIG_FHA_2;1159;1166;;PF00498;CLST014522
P10915;LIG_FHA_2;127;134;;PF00498;CLST014522
Q15761;LIG_FHA_2;332;339;;PF00498;CLST014522
P10911;LIG_FHA_2;36;43;;PF00498;CLST014522
Q6UW02;LIG_FHA_2;33;40;;PF00498;CLST014522
P10912;LIG_FHA_2;132;139;;PF00498;CLST014522
P23743;LIG_FHA_2;196;203;;PF00498;CLST014522
O95528;LIG_FHA_2;191;198;;PF00498;CLST014522
Q96J66;LIG_FHA_2;34;41;;PF00498;CLST014522
P48147;LIG_FHA_2;410;417;;PF00498;CLST014522
P48146;LIG_FHA_2;33;40;;PF00498;CLST014522
Q99518;LIG_FHA_2;26;33;;PF00498;CLST014522
Q9BQG0;LIG_FHA_2;189;196;;PF00498;CLST014522
Q9BQG1;LIG_FHA_2;181;188;;PF00498;CLST014522
Q96RU3;LIG_FHA_2;33;40;;PF00498;CLST014522
A4D1P6;LIG_FHA_2;457;464;;PF00498;CLST014522
P50395;LIG_FHA_2;44;51;;PF00498;CLST014522
Q96A84;LIG_FHA_2;86;93;;PF00498;CLST014522
Q96A83;LIG_FHA_2;108;115;;PF00498;CLST014522
P50391;LIG_FHA_2;99;106;;PF00498;CLST014522
Q13641;LIG_FHA_2;255;262;;PF00498;CLST014522
Q9NS40;LIG_FHA_2;130;137;;PF00498;CLST014522
Q02127;LIG_FHA_2;28;35;;PF00498;CLST014522
P21217;LIG_FHA_2;230;237;;PF00498;CLST014522
Q8NH03;LIG_FHA_2;89;96;;PF00498;CLST014522
A6NH00;LIG_FHA_2;263;270;;PF00498;CLST014522
Q9BXJ8;LIG_FHA_2;173;180;;PF00498;CLST014522
Q8NG77;LIG_FHA_2;3;10;;PF00498;CLST014522
Q96CN9;LIG_FHA_2;75;82;;PF00498;CLST014522
Q8NGF8;LIG_FHA_2;187;194;;PF00498;CLST014522
Q7L985;LIG_FHA_2;129;136;;PF00498;CLST014522
Q9BXJ4;LIG_FHA_2;74;81;;PF00498;CLST014522
O15068;LIG_FHA_2;93;100;;PF00498;CLST014522
O94769;LIG_FHA_2;343;350;;PF00498;CLST014522
P10644;LIG_FHA_2;70;77;;PF00498;CLST014522
Q9H6R6;LIG_FHA_2;233;240;;PF00498;CLST014522
P10646;LIG_FHA_2;37;44;;PF00498;CLST014522
O15066;LIG_FHA_2;46;53;;PF00498;CLST014522
Q9NZM6;LIG_FHA_2;25;32;;PF00498;CLST014522
Q9HC62;LIG_FHA_2;200;207;;PF00498;CLST014522
P07099;LIG_FHA_2;52;59;;PF00498;CLST014522
Q5T6X5;LIG_FHA_2;20;27;;PF00498;CLST014522
Q01968;LIG_FHA_2;679;686;;PF00498;CLST014522
Q8N5G2;LIG_FHA_2;243;250;;PF00498;CLST014522
A1A5B4;LIG_FHA_2;41;48;;PF00498;CLST014522
Q2TBF2;LIG_FHA_2;263;270;;PF00498;CLST014522
Q9Y295;LIG_FHA_2;223;230;;PF00498;CLST014522
Q6IA17;LIG_FHA_2;85;92;;PF00498;CLST014522
P30281;LIG_FHA_2;230;237;;PF00498;CLST014522
P49795;LIG_FHA_2;0;7;;PF00498;CLST014522
